sepal_length,sepal_width,petal_length,petal_width,species,Normalized_sepal_length,Normalized_sepal_width,Normalized_petal_length,Normalized_petal_width,Species_Numeric,Size_Category,Size_Category_Numeric
5.1,3.5,1.4,0.2,setosa,0.22222222222222213,0.6249999999999999,0.06779661016949151,0.04166666666666667,0,Small,0
4.9,3.0,1.4,0.2,setosa,0.1666666666666668,0.41666666666666663,0.06779661016949151,0.04166666666666667,0,Small,0
4.7,3.2,1.3,0.2,setosa,0.11111111111111119,0.5,0.05084745762711865,0.04166666666666667,0,Small,0
4.6,3.1,1.5,0.2,setosa,0.08333333333333327,0.4583333333333333,0.0847457627118644,0.04166666666666667,0,Small,0
5.0,3.6,1.4,0.2,setosa,0.19444444444444448,0.6666666666666666,0.06779661016949151,0.04166666666666667,0,Small,0
5.4,3.9,1.7,0.4,setosa,0.30555555555555564,0.7916666666666665,0.11864406779661016,0.12500000000000003,0,Small,0
4.6,3.4,1.4,0.3,setosa,0.08333333333333327,0.5833333333333333,0.06779661016949151,0.08333333333333333,0,Small,0
5.0,3.4,1.5,0.2,setosa,0.19444444444444448,0.5833333333333333,0.0847457627118644,0.04166666666666667,0,Small,0
4.4,2.9,1.4,0.2,setosa,0.027777777777777922,0.3749999999999999,0.06779661016949151,0.04166666666666667,0,Small,0
4.9,3.1,1.5,0.1,setosa,0.1666666666666668,0.4583333333333333,0.0847457627118644,0.0,0,Small,0
5.4,3.7,1.5,0.2,setosa,0.30555555555555564,0.7083333333333333,0.0847457627118644,0.04166666666666667,0,Small,0
4.8,3.4,1.6,0.2,setosa,0.13888888888888887,0.5833333333333333,0.1016949152542373,0.04166666666666667,0,Small,0
4.8,3.0,1.4,0.1,setosa,0.13888888888888887,0.41666666666666663,0.06779661016949151,0.0,0,Small,0
4.3,3.0,1.1,0.1,setosa,0.0,0.41666666666666663,0.016949152542372895,0.0,0,Small,0
5.8,4.0,1.2,0.2,setosa,0.41666666666666663,0.8333333333333333,0.033898305084745756,0.04166666666666667,0,Small,0
5.7,4.4,1.5,0.4,setosa,0.38888888888888895,1.0,0.0847457627118644,0.12500000000000003,0,Small,0
5.4,3.9,1.3,0.4,setosa,0.30555555555555564,0.7916666666666665,0.05084745762711865,0.12500000000000003,0,Small,0
5.1,3.5,1.4,0.3,setosa,0.22222222222222213,0.6249999999999999,0.06779661016949151,0.08333333333333333,0,Small,0
5.7,3.8,1.7,0.3,setosa,0.38888888888888895,0.7499999999999998,0.11864406779661016,0.08333333333333333,0,Small,0
5.1,3.8,1.5,0.3,setosa,0.22222222222222213,0.7499999999999998,0.0847457627118644,0.08333333333333333,0,Small,0
5.4,3.4,1.7,0.2,setosa,0.30555555555555564,0.5833333333333333,0.11864406779661016,0.04166666666666667,0,Small,0
5.1,3.7,1.5,0.4,setosa,0.22222222222222213,0.7083333333333333,0.0847457627118644,0.12500000000000003,0,Small,0
4.6,3.6,1.0,0.2,setosa,0.08333333333333327,0.6666666666666666,0.0,0.04166666666666667,0,Small,0
5.1,3.3,1.7,0.5,setosa,0.22222222222222213,0.5416666666666665,0.11864406779661016,0.16666666666666669,0,Small,0
4.8,3.4,1.9,0.2,setosa,0.13888888888888887,0.5833333333333333,0.15254237288135591,0.04166666666666667,0,Small,0
5.0,3.0,1.6,0.2,setosa,0.19444444444444448,0.41666666666666663,0.1016949152542373,0.04166666666666667,0,Small,0
5.0,3.4,1.6,0.4,setosa,0.19444444444444448,0.5833333333333333,0.1016949152542373,0.12500000000000003,0,Small,0
5.2,3.5,1.5,0.2,setosa,0.25000000000000006,0.6249999999999999,0.0847457627118644,0.04166666666666667,0,Small,0
5.2,3.4,1.4,0.2,setosa,0.25000000000000006,0.5833333333333333,0.06779661016949151,0.04166666666666667,0,Small,0
4.7,3.2,1.6,0.2,setosa,0.11111111111111119,0.5,0.1016949152542373,0.04166666666666667,0,Small,0
4.8,3.1,1.6,0.2,setosa,0.13888888888888887,0.4583333333333333,0.1016949152542373,0.04166666666666667,0,Small,0
5.4,3.4,1.5,0.4,setosa,0.30555555555555564,0.5833333333333333,0.0847457627118644,0.12500000000000003,0,Small,0
5.2,4.1,1.5,0.1,setosa,0.25000000000000006,0.8749999999999998,0.0847457627118644,0.0,0,Small,0
5.5,4.2,1.4,0.2,setosa,0.3333333333333333,0.9166666666666666,0.06779661016949151,0.04166666666666667,0,Small,0
4.9,3.1,1.5,0.1,setosa,0.1666666666666668,0.4583333333333333,0.0847457627118644,0.0,0,Small,0
5.0,3.2,1.2,0.2,setosa,0.19444444444444448,0.5,0.033898305084745756,0.04166666666666667,0,Small,0
5.5,3.5,1.3,0.2,setosa,0.3333333333333333,0.6249999999999999,0.05084745762711865,0.04166666666666667,0,Small,0
4.9,3.1,1.5,0.1,setosa,0.1666666666666668,0.4583333333333333,0.0847457627118644,0.0,0,Small,0
4.4,3.0,1.3,0.2,setosa,0.027777777777777922,0.41666666666666663,0.05084745762711865,0.04166666666666667,0,Small,0
5.1,3.4,1.5,0.2,setosa,0.22222222222222213,0.5833333333333333,0.0847457627118644,0.04166666666666667,0,Small,0
5.0,3.5,1.3,0.3,setosa,0.19444444444444448,0.6249999999999999,0.05084745762711865,0.08333333333333333,0,Small,0
4.5,2.3,1.3,0.3,setosa,0.055555555555555594,0.1249999999999999,0.05084745762711865,0.08333333333333333,0,Small,0
4.4,3.2,1.3,0.2,setosa,0.027777777777777922,0.5,0.05084745762711865,0.04166666666666667,0,Small,0
5.0,3.5,1.6,0.6,setosa,0.19444444444444448,0.6249999999999999,0.1016949152542373,0.20833333333333334,0,Small,0
5.1,3.8,1.9,0.4,setosa,0.22222222222222213,0.7499999999999998,0.15254237288135591,0.12500000000000003,0,Small,0
4.8,3.0,1.4,0.3,setosa,0.13888888888888887,0.41666666666666663,0.06779661016949151,0.08333333333333333,0,Small,0
5.1,3.8,1.6,0.2,setosa,0.22222222222222213,0.7499999999999998,0.1016949152542373,0.04166666666666667,0,Small,0
4.6,3.2,1.4,0.2,setosa,0.08333333333333327,0.5,0.06779661016949151,0.04166666666666667,0,Small,0
5.3,3.7,1.5,0.2,setosa,0.27777777777777773,0.7083333333333333,0.0847457627118644,0.04166666666666667,0,Small,0
5.0,3.3,1.4,0.2,setosa,0.19444444444444448,0.5416666666666665,0.06779661016949151,0.04166666666666667,0,Small,0
7.0,3.2,4.7,1.4,versicolor,0.7499999999999999,0.5,0.6271186440677966,0.5416666666666666,1,Medium,1
6.4,3.2,4.5,1.5,versicolor,0.5833333333333334,0.5,0.5932203389830508,0.5833333333333334,1,Medium,1
6.9,3.1,4.9,1.5,versicolor,0.7222222222222222,0.4583333333333333,0.6610169491525424,0.5833333333333334,1,Medium,1
5.5,2.3,4.0,1.3,versicolor,0.3333333333333333,0.1249999999999999,0.5084745762711864,0.5,1,Medium,1
6.5,2.8,4.6,1.5,versicolor,0.611111111111111,0.3333333333333332,0.6101694915254237,0.5833333333333334,1,Medium,1
5.7,2.8,4.5,1.3,versicolor,0.38888888888888895,0.3333333333333332,0.5932203389830508,0.5,1,Medium,1
6.3,3.3,4.7,1.6,versicolor,0.5555555555555555,0.5416666666666665,0.6271186440677966,0.625,1,Medium,1
4.9,2.4,3.3,1.0,versicolor,0.1666666666666668,0.1666666666666666,0.38983050847457623,0.375,1,Medium,1
6.6,2.9,4.6,1.3,versicolor,0.6388888888888887,0.3749999999999999,0.6101694915254237,0.5,1,Medium,1
5.2,2.7,3.9,1.4,versicolor,0.25000000000000006,0.2916666666666667,0.4915254237288135,0.5416666666666666,1,Medium,1
5.0,2.0,3.5,1.0,versicolor,0.19444444444444448,0.0,0.423728813559322,0.375,1,Medium,1
5.9,3.0,4.2,1.5,versicolor,0.44444444444444453,0.41666666666666663,0.5423728813559322,0.5833333333333334,1,Medium,1
6.0,2.2,4.0,1.0,versicolor,0.4722222222222222,0.0833333333333334,0.5084745762711864,0.375,1,Medium,1
6.1,2.9,4.7,1.4,versicolor,0.4999999999999999,0.3749999999999999,0.6271186440677966,0.5416666666666666,1,Medium,1
5.6,2.9,3.6,1.3,versicolor,0.361111111111111,0.3749999999999999,0.4406779661016949,0.5,1,Medium,1
6.7,3.1,4.4,1.4,versicolor,0.6666666666666666,0.4583333333333333,0.576271186440678,0.5416666666666666,1,Medium,1
5.6,3.0,4.5,1.5,versicolor,0.361111111111111,0.41666666666666663,0.5932203389830508,0.5833333333333334,1,Medium,1
5.8,2.7,4.1,1.0,versicolor,0.41666666666666663,0.2916666666666667,0.5254237288135593,0.375,1,Medium,1
6.2,2.2,4.5,1.5,versicolor,0.5277777777777778,0.0833333333333334,0.5932203389830508,0.5833333333333334,1,Medium,1
5.6,2.5,3.9,1.1,versicolor,0.361111111111111,0.20833333333333331,0.4915254237288135,0.4166666666666667,1,Medium,1
5.9,3.2,4.8,1.8,versicolor,0.44444444444444453,0.5,0.6440677966101694,0.7083333333333334,1,Medium,1
6.1,2.8,4.0,1.3,versicolor,0.4999999999999999,0.3333333333333332,0.5084745762711864,0.5,1,Medium,1
6.3,2.5,4.9,1.5,versicolor,0.5555555555555555,0.20833333333333331,0.6610169491525424,0.5833333333333334,1,Medium,1
6.1,2.8,4.7,1.2,versicolor,0.4999999999999999,0.3333333333333332,0.6271186440677966,0.4583333333333333,1,Medium,1
6.4,2.9,4.3,1.3,versicolor,0.5833333333333334,0.3749999999999999,0.559322033898305,0.5,1,Medium,1
6.6,3.0,4.4,1.4,versicolor,0.6388888888888887,0.41666666666666663,0.576271186440678,0.5416666666666666,1,Medium,1
6.8,2.8,4.8,1.4,versicolor,0.6944444444444443,0.3333333333333332,0.6440677966101694,0.5416666666666666,1,Medium,1
6.7,3.0,5.0,1.7,versicolor,0.6666666666666666,0.41666666666666663,0.6779661016949152,0.6666666666666666,1,Large,2
6.0,2.9,4.5,1.5,versicolor,0.4722222222222222,0.3749999999999999,0.5932203389830508,0.5833333333333334,1,Medium,1
5.7,2.6,3.5,1.0,versicolor,0.38888888888888895,0.25,0.423728813559322,0.375,1,Medium,1
5.5,2.4,3.8,1.1,versicolor,0.3333333333333333,0.1666666666666666,0.47457627118644063,0.4166666666666667,1,Medium,1
5.5,2.4,3.7,1.0,versicolor,0.3333333333333333,0.1666666666666666,0.4576271186440678,0.375,1,Medium,1
5.8,2.7,3.9,1.2,versicolor,0.41666666666666663,0.2916666666666667,0.4915254237288135,0.4583333333333333,1,Medium,1
6.0,2.7,5.1,1.6,versicolor,0.4722222222222222,0.2916666666666667,0.6949152542372881,0.625,1,Large,2
5.4,3.0,4.5,1.5,versicolor,0.30555555555555564,0.41666666666666663,0.5932203389830508,0.5833333333333334,1,Medium,1
6.0,3.4,4.5,1.6,versicolor,0.4722222222222222,0.5833333333333333,0.5932203389830508,0.625,1,Medium,1
6.7,3.1,4.7,1.5,versicolor,0.6666666666666666,0.4583333333333333,0.6271186440677966,0.5833333333333334,1,Medium,1
6.3,2.3,4.4,1.3,versicolor,0.5555555555555555,0.1249999999999999,0.576271186440678,0.5,1,Medium,1
5.6,3.0,4.1,1.3,versicolor,0.361111111111111,0.41666666666666663,0.5254237288135593,0.5,1,Medium,1
5.5,2.5,4.0,1.3,versicolor,0.3333333333333333,0.20833333333333331,0.5084745762711864,0.5,1,Medium,1
5.5,2.6,4.4,1.2,versicolor,0.3333333333333333,0.25,0.576271186440678,0.4583333333333333,1,Medium,1
6.1,3.0,4.6,1.4,versicolor,0.4999999999999999,0.41666666666666663,0.6101694915254237,0.5416666666666666,1,Medium,1
5.8,2.6,4.0,1.2,versicolor,0.41666666666666663,0.25,0.5084745762711864,0.4583333333333333,1,Medium,1
